Word,Polarity,Intensity,SubjectivityType,SubjectivityPolarity
국민;에게;알리,COMP,Medium,Argument,POS
국민;학생;과,POS,Medium,Judgment,POS
국제;무용;행사,POS,Medium,Judgment,POS
국제;상;을,POS,Medium,Judgment,POS
군국;주의;망령,NEG,High,Judgment,NEG
군살;이;많이,NEG,Medium,Judgment,NEG
굳;지;않,POS,Low,Judgment,POS
굵;직;한,NEG,High,Judgment,NEG
굶;주;리,NEG,Medium,Emotion,NEG
굿;이;벌어지,POS,Medium,Judgment,POS
궁;상;스럽,NEG,Medium,Emotion,NEG
궁;전집;이,POS,Medium,Argument,POS
궁;중;사극,NEG,Low,Argument,POS
궁핍;의;한계,NEG,Medium,Emotion,NEG
권;운동;에,POS,Medium,Judgment,POS
권력;을;빼앗기,NEG,Medium,Judgment,NEG
권력;욕;에,NEG,Medium,Emotion,NEG
궤변;으로가;득,NEG,High,Judgment,NEG
귀;질환;을,NEG,Medium,Judgment,NEG
규모;의;국제,POS,Medium,Judgment,POS
규모;의;돈,POS,Medium,Judgment,POS
균;이번;식,POS,Medium,Argument,POS
균형;을;지나치,NEG,Medium,Judgment,NEG
그;고비;를,POS,Medium,Argument,POS
그;무게;불리,NEG,High,Argument,POS
그;사람;을,POS,Low,Argument,POS
그;사상;의,POS,Medium,Judgment,POS
그;소외;되,COMP,Medium,Argument,POS
그;순간;어둠,POS,Medium,Argument,POS
그;위상;을,NEUT,Medium,Judgment,COMP
그;정화;만,POS,Medium,Judgment,POS
그;주변;사람,POS,Low,Argument,POS
그;폭;이,POS,Medium,Judgment,POS
그;가;얼마나,POS,High,Judgment,POS
그;는;말,NEG,Medium,Argument,POS
그;뿐;이,NONE,None,Others,POS
그;에게;간신히,NEG,Medium,Argument,POS
그;와;무관,NEG,Medium,Argument,POS
그;의사;랑,POS,High,Emotion,POS
그냥;상상;의,NEG,Medium,Argument,POS
그대로;따르;지,NEG,Medium,Agreement,NEG
그대로;모방;하,POS,Low,Judgment,POS
그동안;못;하,POS,Medium,Judgment,POS
그동안;연구;하,POS,Medium,Argument,POS
그러;어;모두,NEG,Medium,Argument,POS
그러;어;맞,POS,Medium,Argument,POS
그러나;양탄자;는,POS,Medium,Argument,POS
그러나;이제;소수,NEG,Medium,Argument,POS
그러나;폐렴;은,NEG,Medium,Argument,POS
그러므로;건축;창작,NEUT,Medium,Argument,POS
그런;고민;에,POS,Medium,Judgment,POS
그런;엄마;를,NEG,Medium,Argument,POS
그렇;기;마련,NEG,Low,Judgment,NEG
그렇;다면;자본주의,NEG,Low,Argument,POS
그렇;지;않,NEG,Medium,Judgment,NEUT
그렇지만;한자;의,POS,Medium,Argument,POS
그리;어렵;지,POS,Low,Judgment,POS
그리고;간밤;의,POS,Medium,Argument,POS
그리하여;세상;의,NEG,High,Argument,POS
그림;들;이,NEG,Medium,Argument,POS
그;분;께,NEG,Medium,Argument,POS
그저;그렇;기,NEG,Low,Judgment,NEG
그;지;없,NEG,Low,Judgment,NEG
그;지;없는,NEG,Low,Judgment,NEG
극;의;현실,POS,Medium,Judgment,POS
극단;적;이,NEG,Low,Judgment,POS
극;대화;하,NEG,High,Judgment,NEG
극복;인식;등,POS,Low,Argument,POS
극장;공연;물,POS,Medium,Judgment,POS
극;히;일부,NEG,High,Judgment,NEG
근로;의욕;저하,NEG,Medium,Emotion,NEG
근본;은;사람,POS,Medium,Judgment,POS
근시;안;적,NEG,Medium,Judgment,NEG
근;현대;작곡가,POS,Low,Judgment,POS
글;을;쓰,NEUT,High,Judgment,NEUT
글씨;를;쓰,NEG,Medium,Argument,POS
급속히;악화;하,NEG,High,Judgment,NEG
긍정;적;이,POS,High,Judgment,POS
긍정;적;편견,POS,Medium,Judgment,POS
기;가가;장,NEG,Medium,Judgment,NEG
기그;지;없,NEG,Low,Judgment,NEG
기그;지;없는,NEG,Low,Judgment,NEG
기;까;지하,NONE,None,Others,POS
기;때문;이,NONE,None,Judgment,POS
기;마련;이,NEG,Low,Judgment,POS
기;쉽;므로,POS,Medium,Argument,POS
기;쉽;은,POS,Medium,Argument,POS
기;십;상이,NEG,Medium,Judgment,NEG
기;어렵;었,NEG,Medium,Argument,POS
기;에;그것,NEUT,Medium,Argument,POS
기;에;이르,NONE,None,Judgment,POS
기;에;즐겁,POS,High,Judgment,POS
기;에;충분,POS,Medium,Judgment,POS
기;가;흐르,POS,Medium,Judgment,POS
기;더;하,POS,Medium,Judgment,POS
기;가;많,NEG,Low,Judgment,NEG
기;나;길,POS,High,Judgment,POS
기능;을;함께,POS,Medium,Judgment,POS
기능;적;으로,POS,Medium,Argument,POS
기대;를;모으,POS,High,Judgment,POS
기대;를;한층,POS,Medium,Emotion,POS
기대;와;관심,POS,Medium,Emotion,POS
기대;주;이,POS,Medium,Judgment,POS
기반;을;다지,POS,Medium,Argument,POS
기본;적;이,POS,Medium,Judgment,POS
기분;이;들,NEG,High,Emotion,NEUT
기쁘;게;참여,POS,Medium,Judgment,POS
기술;의;노예,NEG,Medium,Judgment,NEG
기약;조;차하,NEG,Medium,Judgment,NEG
기업;들;도,NEG,Medium,Argument,POS
기업;정부;가,POS,Medium,Judgment,POS
기여;도;가,POS,High,Judgment,POS
기운;생동;속,POS,Medium,Judgment,POS
기존;화장품;보다,POS,Medium,Judgment,POS
기초;부터;살피,POS,Medium,Judgment,POS
기회;가;되,POS,High,Judgment,POS
기회;를;던지,POS,Medium,Judgment,POS
기회;를;얻,POS,Medium,Judgment,POS
기회;를;주,POS,Medium,Judgment,POS
기회;주의;적,NEG,Medium,Judgment,NEG
기획;물;비디오,NEG,Medium,Argument,POS
긴급;조치;위반,NEG,Medium,Judgment,NEG
긴장;이;고조,NEG,Medium,Judgment,NEG
긴장감;이;조성,NEG,Medium,Judgment,NEG
길;에서;마주치,NEG,Low,Argument,POS
길;을;찾,POS,Medium,Argument,POS
길;들;이,POS,Medium,Judgment,POS
길이;가;일정,NEG,Medium,Judgment,NEG
깃발;을;높이,POS,Medium,Judgment,POS
까지;반대;를,NEG,High,Judgment,NEG
까지;줄;이,POS,Low,Argument,POS
까지;참여;하,POS,Medium,Judgment,POS
까지;하;았,NEG,High,Emotion,NEG
깎았;었;는데,NEG,Low,Argument,POS
깎아;지른;듯,NEG,Medium,Argument,POS
깜;깜;하,NEG,Medium,Judgment,NEG
깜;찍;하,COMP,Medium,Judgment,POS
깨;었;지만,NEUT,Medium,Argument,NEUT
깨;닫게;하,POS,Medium,Judgment,POS
깨닫;으면;실천,POS,Medium,Argument,POS
꺼내;어;마음,COMP,Medium,Agreement,POS
꺼내지;못;하,NEG,Medium,Intention,NEG
꽃;보다;더,POS,Low,Argument,POS
꽃;을;피우,POS,High,Emotion,POS
꽃잎;처럼;화려,POS,Low,Argument,POS
꾸준히;문제;를,NEG,Medium,Argument,POS
꿀;을;빨,NEG,Low,Judgment,NEG
꿀;혼자;만,NEG,Medium,Argument,POS
꿀;단지;가지,NEG,Medium,Argument,POS
꿀통;하나;얻,NEG,Medium,Argument,POS
꿈;만;같,POS,High,Emotion,POS
꿈;에서;깨,NEUT,Medium,Argument,NEUT
꿈;을;갖,POS,Medium,Argument,POS
꿈;을;꾸,NEUT,Medium,Argument,NEUT
꿈;이;부끄럽,COMP,Medium,Speculation,POS
꿈;이;었,POS,Medium,Argument,POS
끈;끈;하,NEG,Medium,Argument,POS
끊임없;이;반문,COMP,Medium,Others,POS
끊임없;이반;문하,COMP,Medium,Others,POS
끝;까지;반대,NEG,High,Judgment,NEG
끝;까지;지키,POS,Medium,Argument,POS
끝;이;여물,POS,Medium,Judgment,POS
